CNKEY,CN,DASHES,DM,SU
000000000090,,,COMBINED NOMENCLATURE - 2023,
010011000090,I,,SECTION I - LIVE ANIMALS; ANIMAL PRODUCTS,
010021000090,01,,CHAPTER 1 - LIVE ANIMALS,
010100000080,0101,,"Live horses, asses, mules and hinnies",
010121000010,,-,Horses,
010121000080,0101 21 00,--,Pure-bred breeding animals,p/st
010129000080,0101 29,--,Other,
010129100080,0101 29 10,---,For slaughter,p/st
010129900080,0101 29 90,---,Other,p/st
010130000080,0101 30 00,-,Asses,p/st
010190000080,0101 90 00,-,Other,p/st
010200000080,0102,,Live bovine animals,
010221000010,,-,Cattle,
010221000080,0102 21,--,Pure-bred breeding animals,
010221100080,0102 21 10,---,Heifers (female bovines that have never calved),p/st
010221300080,0102 21 30,---,Cows,p/st
010221900080,0102 21 90,---,Other,p/st
010229000080,0102 29,--,Other,
010229050080,0102 29 05,---,Of the sub-genus Bibos or of the sub-genus Poephagus,p/st
010229100010,,---,Other,
010229100080,0102 29 10,----,Of a weight not exceeding 80 kg,p/st
010229210010,,----,Of a weight exceeding 80 kg but not exceeding 160 kg,
010229210080,0102 29 21,-----,For slaughter,p/st
010229290080,0102 29 29,-----,Other,p/st
010229410010,,----,Of a weight exceeding 160 kg but not exceeding 300 kg,
010229410080,0102 29 41,-----,For slaughter,p/st
010229490080,0102 29 49,-----,Other,p/st
010229510010,,----,Of a weight exceeding 300 kg,
010229510020,,-----,Heifers (female bovines that have never calved),
010229510080,0102 29 51,------,For slaughter,p/st
010229590080,0102 29 59,------,Other,p/st
010229610010,,-----,Cows,
010229610080,0102 29 61,------,For slaughter,p/st
010229690080,0102 29 69,------,Other,p/st
010229910010,,-----,Other,
010229910080,0102 29 91,------,For slaughter,p/st
010229990080,0102 29 99,------,Other,p/st
010231000010,,-,Buffalo,
010231000080,0102 31 00,--,Pure-bred breeding animals,p/st
010239000080,0102 39,--,Other,
010239100080,0102 39 10,---,Domestic species,p/st
