CN,CPA,_,,
1001 11 00,01.11.11,1,,
1001 19 00,01.11.11,1,,
1001 91 10,01.11.12,1,,
1001 91 20,01.11.12,1,,
1001 91 90,01.11.12,1,,
1001 99 00,01.11.12,1,,
1005 10 13,01.11.20,1,,
1005 10 15,01.11.20,1,,
1005 10 18,01.11.20,1,,
1005 10 90,01.11.20,1,,
1005 90 00,01.11.20,1,,
1003 10 00,01.11.31,1,,
1003 90 00,01.11.31,1,,
1002 10 00,01.11.32,1,,
1002 90 00,01.11.32,1,,
1004 10 00,01.11.33,1,,
1004 90 00,01.11.33,1,,
1007 10 10,01.11.41,1,,
1007 10 90,01.11.41,1,,
1007 90 00,01.11.41,1,,
1008 21 00,01.11.42,1,,
1008 29 00,01.11.42,1,,
1008 60 00,01.11.43,1,,
1008 10 00,01.11.49,1,,
1008 30 00,01.11.49,1,,
1008 40 00,01.11.49,1,,
1008 50 00,01.11.49,1,,
1008 90 00,01.11.49,1,,
1213 00 00,01.11.50,1,,
0708 20 00,01.11.61,1,,
0708 10 00,01.11.62,1,,
0708 90 00,01.11.69,1,,
0713 31 00,01.11.71,1,,
0713 32 00,01.11.71,1,,
0713 33 10,01.11.71,1,,
0713 33 90,01.11.71,1,,
0713 34 00,01.11.71,1,,
0713 39 00,01.11.71,1,,
0713 50 00,01.11.72,1,,
0713 20 00,01.11.73,1,,
0713 40 00,01.11.74,1,,
0713 10 10,01.11.75,1,,
0713 10 90,01.11.75,1,,
0713 35 00,01.11.76,1,,
0713 60 00,01.11.77,1,,
0713 90 00,01.11.79,1,,
1201 10 00,01.11.81,1,,
1201 90 00,01.11.81,1,,
1202 30 00,01.11.82,1,,
1202 41 00,01.11.82,1,,
1204 00 10,01.11.91,1,,
1204 00 90,01.11.91,1,,
1207 50 10,01.11.92,1,,
1207 50 90,01.11.92,1,,
1205 10 10,01.11.93,1,,
1205 10 90,01.11.93,1,,
1205 90 00,01.11.93,1,,
1207 40 10,01.11.94,1,,
1207 40 90,01.11.94,1,,
1206 00 10,01.11.95,1,,
1206 00 91,01.11.95,1,,
1206 00 99,01.11.95,1,,
1207 30 00,01.11.96,1,,
1207 10 00,01.11.99,1,,
1207 60 00,01.11.99,1,,
1207 70 00,01.11.99,1,,
1207 91 10,01.11.99,1,,
1207 91 90,01.11.99,1,,
1207 99 20,01.11.99,1,,
1207 99 91,01.11.99,1,,
1207 99 96,01.11.99,1,,
1006 10 10,01.12.10,1,,
1006 10 30,01.12.10,1,,
1006 10 50,01.12.10,1,,
1006 10 71,01.12.10,1,,
1006 10 79,01.12.10,1,,
1006 10 90,01.12.10,1,,
0709 20 00,01.13.11,1,,
0704 20 00,01.13.12,1,,
0704 90 10,01.13.12,1,,
0704 90 90,01.13.12,1,,
0704 10 10,01.13.13,1,,
0704 10 90,01.13.13,1,,
0705 11 00,01.13.14,1,,
0705 19 00,01.13.14,1,,
0705 21 00,01.13.15,1,,
0705 29 00,01.13.15,1,,
0709 70 00,01.13.16,1,,
0709 91 00,01.13.17,1,,
0709 99 10,01.13.19,1,,
0709 99 20,01.13.19,1,,
0709 99 50,01.13.19,1,,
0807 11 00,01.13.21,1,,
0807 19 00,01.13.29,1,,
0709 60 10,01.13.31,1,,
0709 60 91,01.13.31,1,,
