NomenclatureCode,Tier,code,desc
H4,0, Total,Total Trade,
H4,1,01,LIVE ANIMALS,
H4,1,02,MEAT AND EDIBLE MEAT OFFAL,
H4,1,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",
H4,1,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",
H4,1,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",
H4,1,06,"LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE",
H4,1,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS,
H4,1,08,EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUIT OR MELONS,
H4,1,09,"COFFEE, TEA, MATÉ AND SPICES",
H4,1,10,CEREALS,
H4,1,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN,
H4,1,12,"OIL SEEDS AND OLEAGINOUS FRUITS; MISCELLANEOUS GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER",
H4,1,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS",
H4,1,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED,
H4,1,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES,
H4,1,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",
H4,1,17,SUGARS AND SUGAR CONFECTIONERY,
H4,1,18,COCOA AND COCOA PREPARATIONS,
H4,1,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS' PRODUCTS",
H4,1,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS",
H4,1,21,MISCELLANEOUS EDIBLE PREPARATIONS,
H4,1,22,"BEVERAGES, SPIRITS AND VINEGAR",
H4,1,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODDER,
H4,1,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,
H4,1,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT",
H4,1,26,"ORES, SLAG AND ASH",
H4,1,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",
H4,1,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RAREEARTH METALS, OF RADIOACTIVE ELEMENTS OR OF ISOTOPES",
H4,1,29,ORGANIC CHEMICALS,
H4,1,30,PHARMACEUTICAL PRODUCTS,
H4,1,31,FERTILISERS,
H4,1,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",
H4,1,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS",
